observer,date,start_time,end_time,total_time,total_time_hour,risk,site,total_pred_rate
AK,17-Jan-22,9:00,9:06,0:06,0.1,high,gump,0
AK,17-Jan-22,12:43,14:06,1:23,1.38,high,gump,2.891566265
KS,17-Jan-22,8:57,9:12,0:15,0.25,high,gump,0
KS,17-Jan-22,12:43,13:56,1:13,1.22,high,gump,7.397260274
LM,17-Jan-22,10:40,11:03,0:23,0.38,high,soccer_field,2.608695652
LM,17-Jan-22,12:45,13:20,0:35,0.58,high,gump,8.571428571
KS,19-Jan-22,7:52,11:10,3:18,3.3,low,road_to_pineapple_plantation,2.424242424
KS,19-Jan-22,13:10,15:00,1:50,1.83,low,road_to_pineapple_plantation,0
AK,19-Jan-22,7:29,11:50,4:21,4.35,high,gump,5.747126437
AK,19-Jan-22,13:10,15:00,1:50,1.83,low,road_to_pineapple_plantation,2.181818182
AK,21-Jan-22,8:36,11:26,2:50,2.83,low,cross_island_road,0
AK,21-Jan-22,13:15,15:00,1:45,1.75,high,gump,1.142857143
KS,21-Jan-22,8:27,11:47,3:20,3.33,high,gump,7.2
KS,21-Jan-22,13:11,13:30,0:19,0.32,high,juice_factory,9.473684211
KS,21-Jan-22,13:30,14:45,1:15,1.25,high,soccer_field,1.6
AK,23-Jan-22,7:24,11:41,4:17,4.28,high,gump,3.73540856
AK,23-Jan-22,13:16,15:11,1:55,1.92,low,road_to_pineapple_plantation,0
KS,23-Jan-22,7:45,10:00,2:15,2.25,low,cross_island_road,3.555555556
KS,23-Jan-22,10:00,11:30,1:30,1.5,low,road_to_pineapple_plantation,0.666666667
KS,23-Jan-22,13:00,14:45,1:45,1.75,high,gump,4
KS,23-Jan-22,14:45,15:30,0:45,0.75,high,cultural_center,16
AK,25-Jan-22,8:30,11:40,3:10,3.17,low,cross_island_road,1.578947368
AK,25-Jan-22,13:26,14:30,1:04,1.07,high,cultural_center,6.5625
KS,25-Jan-22,8:15,11:45,3:30,3.5,low,road_to_pineapple_plantation,1.714285714
KS,25-Jan-22,13:20,15:15,1:55,1.92,high,gump,3.130434783
AK,27-Jan-22,9:00,11:45,2:45,2.75,low,road_to_pineapple_plantation,2.909090909
AK,27-Jan-22,13:28,14:23,0:55,0.92,high,gump,13.09090909
AK,27-Jan-22,14:28,14:40,0:12,0.2,high,cultural_center,80
KS,27-Jan-22,8:45,11:45,3:00,3,high,gump,15.66666667
KS,27-Jan-22,13:15,15:30,2:15,2.25,low,road_to_pineapple_plantation,0
LM,19-Jan-22,8:35,11:17,2:42,2.7,low,cross_island_road,2.222222222
LM,19-Jan-22,14:10,14:44,0:34,0.57,high,soccer_field,1.764705882
LM,21-Jan-22,8:40,11:15,2:35,2.58,low,road_to_pineapple_plantation,1.935483871
LM,21-Jan-22,13:20,14:50,1:30,1.5,high,gump,4.666666667
LM,23-Jan-22,7:35,9:55,2:20,2.33,high,soccer_field,6.857142857
LM,23-Jan-22,9:55,10:57,1:02,1.03,high,juice_factory,3.870967742
LM,23-Jan-22,11:14,11:46,0:32,0.53,high,gump,11.25
LM,23-Jan-22,13:42,14:56,1:14,1.23,low,cross_island_road,1.621621622
LM,25-Jan-22,7:54,11:02,3:08,3.13,high,juice_factory,2.872340426
LM,27-Jan-22,9:05,11:30,2:25,2.42,low,cross_island_road,2.068965517
LM,27-Jan-22,13:45,15:00,1:15,1.25,high,soccer_field,0